,spin,model,strength,polar angle,azimuthal angle
462,0.3,ring,1e-10,0.3141592653589793,0
463,0.4,ring,1e-10,0.3141592653589793,0
464,0.5,ring,1e-10,0.3141592653589793,0
465,0.75,ring,1e-10,0.3141592653589793,0
466,0.9,ring,1e-10,0.3141592653589793,0
467,0.99,ring,1e-10,0.3141592653589793,0
468,0.001,ring,1e-09,0.3141592653589793,0
469,0.1,ring,1e-09,0.3141592653589793,0
470,0.2,ring,1e-09,0.3141592653589793,0
471,0.3,ring,1e-09,0.3141592653589793,0
472,0.4,ring,1e-09,0.3141592653589793,0
473,0.5,ring,1e-09,0.3141592653589793,0
474,0.75,ring,1e-09,0.3141592653589793,0
475,0.9,ring,1e-09,0.3141592653589793,0
476,0.99,ring,1e-09,0.3141592653589793,0
477,0.001,ring,1e-08,0.3141592653589793,0
478,0.1,ring,1e-08,0.3141592653589793,0
479,0.2,ring,1e-08,0.3141592653589793,0
480,0.3,ring,1e-08,0.3141592653589793,0
481,0.4,ring,1e-08,0.3141592653589793,0
482,0.5,ring,1e-08,0.3141592653589793,0
483,0.75,ring,1e-08,0.3141592653589793,0
484,0.9,ring,1e-08,0.3141592653589793,0
485,0.99,ring,1e-08,0.3141592653589793,0
486,0.001,ring,1e-07,0.3141592653589793,0
487,0.1,ring,1e-07,0.3141592653589793,0
488,0.2,ring,1e-07,0.3141592653589793,0
489,0.3,ring,1e-07,0.3141592653589793,0
490,0.4,ring,1e-07,0.3141592653589793,0
491,0.5,ring,1e-07,0.3141592653589793,0
492,0.75,ring,1e-07,0.3141592653589793,0
493,0.9,ring,1e-07,0.3141592653589793,0
494,0.99,ring,1e-07,0.3141592653589793,0
495,0.001,ring,1e-06,0.3141592653589793,0
496,0.1,ring,1e-06,0.3141592653589793,0
497,0.2,ring,1e-06,0.3141592653589793,0
498,0.3,ring,1e-06,0.3141592653589793,0
499,0.4,ring,1e-06,0.3141592653589793,0
500,0.5,ring,1e-06,0.3141592653589793,0
501,0.75,ring,1e-06,0.3141592653589793,0
502,0.9,ring,1e-06,0.3141592653589793,0
503,0.99,ring,1e-06,0.3141592653589793,0
504,0.001,ring,1e-12,0.6283185307179586,0
505,0.1,ring,1e-12,0.6283185307179586,0
506,0.2,ring,1e-12,0.6283185307179586,0
507,0.3,ring,1e-12,0.6283185307179586,0
508,0.4,ring,1e-12,0.6283185307179586,0
509,0.5,ring,1e-12,0.6283185307179586,0
510,0.75,ring,1e-12,0.6283185307179586,0
511,0.9,ring,1e-12,0.6283185307179586,0
512,0.99,ring,1e-12,0.6283185307179586,0
513,0.001,ring,1e-11,0.6283185307179586,0
514,0.1,ring,1e-11,0.6283185307179586,0
515,0.2,ring,1e-11,0.6283185307179586,0
516,0.3,ring,1e-11,0.6283185307179586,0
517,0.4,ring,1e-11,0.6283185307179586,0
518,0.5,ring,1e-11,0.6283185307179586,0
519,0.75,ring,1e-11,0.6283185307179586,0
520,0.9,ring,1e-11,0.6283185307179586,0
521,0.99,ring,1e-11,0.6283185307179586,0
522,0.001,ring,1e-10,0.6283185307179586,0
523,0.1,ring,1e-10,0.6283185307179586,0
524,0.2,ring,1e-10,0.6283185307179586,0
525,0.3,ring,1e-10,0.6283185307179586,0
526,0.4,ring,1e-10,0.6283185307179586,0
527,0.5,ring,1e-10,0.6283185307179586,0
528,0.75,ring,1e-10,0.6283185307179586,0
529,0.9,ring,1e-10,0.6283185307179586,0
530,0.99,ring,1e-10,0.6283185307179586,0
531,0.001,ring,1e-09,0.6283185307179586,0
532,0.1,ring,1e-09,0.6283185307179586,0
533,0.2,ring,1e-09,0.6283185307179586,0
534,0.3,ring,1e-09,0.6283185307179586,0
535,0.4,ring,1e-09,0.6283185307179586,0
536,0.5,ring,1e-09,0.6283185307179586,0
537,0.75,ring,1e-09,0.6283185307179586,0
538,0.9,ring,1e-09,0.6283185307179586,0
539,0.99,ring,1e-09,0.6283185307179586,0
540,0.001,ring,1e-08,0.6283185307179586,0
541,0.1,ring,1e-08,0.6283185307179586,0
542,0.2,ring,1e-08,0.6283185307179586,0
543,0.3,ring,1e-08,0.6283185307179586,0
544,0.4,ring,1e-08,0.6283185307179586,0
545,0.5,ring,1e-08,0.6283185307179586,0
546,0.75,ring,1e-08,0.6283185307179586,0
